entry	name	file	status	error
00402550	i76edit_export_road_segment_mesh_records	decompile/00402550_i76edit_export_road_segment_mesh_records.c	ok	
00404710	i76edit_delete_selected_road_ui	decompile/00404710_i76edit_delete_selected_road_ui.c	ok	
00406090	i76edit_edit_surface_type_panel	decompile/00406090_i76edit_edit_surface_type_panel.c	ok	
00406ff0	i76edit_create_main_window_and_controls	decompile/00406ff0_i76edit_create_main_window_and_controls.c	ok	
00408d10	i76edit_load_path_records	decompile/00408d10_i76edit_load_path_records.c	ok	
00408ec0	i76edit_save_path_records	decompile/00408ec0_i76edit_save_path_records.c	ok	
00409050	i76edit_export_runtime_all_path_chunks	decompile/00409050_i76edit_export_runtime_all_path_chunks.c	ok	
00409eb0	i76edit_load_object_records	decompile/00409eb0_i76edit_load_object_records.c	ok	
0040a280	i76edit_save_object_zone_lists	decompile/0040a280_i76edit_save_object_zone_lists.c	ok	
0040a400	i76edit_export_runtime_object_obj_records	decompile/0040a400_i76edit_export_runtime_object_obj_records.c	ok	
0040a660	i76edit_convert_int_to_runtime_object_scale_float	decompile/0040a660_i76edit_convert_int_to_runtime_object_scale_float.c	ok	
0040a680	i76edit_prepare_object_export_zone_lookup	decompile/0040a680_i76edit_prepare_object_export_zone_lookup.c	ok	
0040a6e0	i76edit_refresh_exportable_object_zone_ids	decompile/0040a6e0_i76edit_refresh_exportable_object_zone_ids.c	ok	
0040ac20	i76edit_refresh_object_zone_membership_from_zone_map	decompile/0040ac20_i76edit_refresh_object_zone_membership_from_zone_map.c	ok	
0040ca50	i76edit_load_extended_zone_records	decompile/0040ca50_i76edit_load_extended_zone_records.c	ok	
0040cbe0	i76edit_save_extended_zone_records	decompile/0040cbe0_i76edit_save_extended_zone_records.c	ok	
0040d5f0	i76edit_sample_weighted_height_field	decompile/0040d5f0_i76edit_sample_weighted_height_field.c	ok	
0040d700	i76edit_build_distance_weighted_sample_table	decompile/0040d700_i76edit_build_distance_weighted_sample_table.c	ok	
0040d880	i76edit_rasterize_sampler_to_128x128_word_plane	decompile/0040d880_i76edit_rasterize_sampler_to_128x128_word_plane.c	ok	
0040d940	i76edit_convert_zone_id_to_cell_xy	decompile/0040d940_i76edit_convert_zone_id_to_cell_xy.c	ok	
0040d9d0	i76edit_build_zone_height_or_surface_workset	decompile/0040d9d0_i76edit_build_zone_height_or_surface_workset.c	ok	
0040e3c0	i76edit_release_render_terrain_pipeline	decompile/0040e3c0_i76edit_release_render_terrain_pipeline.c	ok	
0040e790	i76edit_build_zone_128x128_packed_height_surface_alt	decompile/0040e790_i76edit_build_zone_128x128_packed_height_surface_alt.c	ok	
0040f4e0	i76edit_load_linked_object_records	decompile/0040f4e0_i76edit_load_linked_object_records.c	ok	
0040f6b0	i76edit_save_linked_object_records	decompile/0040f6b0_i76edit_save_linked_object_records.c	ok	
0040fa00	i76edit_export_runtime_all_linked_object_chunks	decompile/0040fa00_i76edit_export_runtime_all_linked_object_chunks.c	ok	
0040fb50	i76edit_build_or_emit_linked_object_road_links	decompile/0040fb50_i76edit_build_or_emit_linked_object_road_links.c	ok	
004113c0	i76edit_export_runtime_path_tree	decompile/004113c0_i76edit_export_runtime_path_tree.c	ok	
00411520	i76edit_find_next_enabled_path_node	decompile/00411520_i76edit_find_next_enabled_path_node.c	ok	
00411550	i76edit_export_runtime_path_tree_nodes_recursive	decompile/00411550_i76edit_export_runtime_path_tree_nodes_recursive.c	ok	
00411810	i76edit_initialize_terrain_buffers	decompile/00411810_i76edit_initialize_terrain_buffers.c	ok	
00411b30	i76edit_get_or_assign_zone_map_cell_id	decompile/00411b30_i76edit_get_or_assign_zone_map_cell_id.c	ok	
00411ba0	i76edit_get_or_create_zone_cell_backing	decompile/00411ba0_i76edit_get_or_create_zone_cell_backing.c	ok	
00411be0	i76edit_initialize_painted_terrain_layers	decompile/00411be0_i76edit_initialize_painted_terrain_layers.c	ok	
00412120	i76edit_get_terrain_plane_row_ptr	decompile/00412120_i76edit_get_terrain_plane_row_ptr.c	ok	
004121d0	i76edit_find_zone_cell_origin_by_zone_id	decompile/004121d0_i76edit_find_zone_cell_origin_by_zone_id.c	ok	
00412300	i76edit_world_xy_to_zone_local_triplet	decompile/00412300_i76edit_world_xy_to_zone_local_triplet.c	ok	
004123a0	i76edit_load_workspace_surface_terrain_tables	decompile/004123a0_i76edit_load_workspace_surface_terrain_tables.c	ok	
00412500	i76edit_save_workspace_terrain_arrays	decompile/00412500_i76edit_save_workspace_terrain_arrays.c	ok	
004125a0	i76edit_alloc_first_unused_base_terrain_row	decompile/004125a0_i76edit_alloc_first_unused_base_terrain_row.c	ok	
